0.05,0
0.048,0
0.046,0
0.044,0
0.042,0
0.04,0
0.038,0
0.036,0
0.034,0
0.032,0
0.03,0
0.028,0
0.026,0
0.024,0
0.022,0
0.02,0
0.018,0
0.016,0
0.014,0
0.012,0
0.01,0
0.008,0
0.006,0
0.004,1
0.002,2
-6.93889e-018,5
-0.002,19
-0.004,29
-0.006,14
-0.008,21
-0.01,26
-0.012,30
-0.014,41
-0.016,39
-0.018,50
-0.02,49
-0.022,39
-0.024,48
-0.026,37
-0.028,41
-0.03,30
-0.032,42
-0.034,46
-0.036,43
-0.038,37
-0.04,35
-0.042,40
-0.044,43
-0.046,38
-0.048,43
-0.05,45
-0.052,37
-0.054,31
-0.056,39
-0.058,47
-0.06,47
-0.062,49
-0.064,46
-0.066,58
-0.068,49
-0.07,45
-0.072,44
-0.074,52
-0.076,42
-0.078,58
-0.08,40
-0.082,59
-0.084,53
-0.086,54
-0.088,58
-0.09,50
-0.092,51
-0.094,54
-0.096,52
-0.098,46
-0.1,70
-0.102,52
-0.104,43
-0.106,56
-0.108,65
-0.11,64
-0.112,57
-0.114,65
-0.116,83
-0.118,62
-0.12,68
-0.122,79
-0.124,71
-0.126,82
-0.128,90
-0.13,81
-0.132,88
-0.134,91
-0.136,87
-0.138,107
-0.14,104
-0.142,116
-0.144,105
-0.146,118
-0.148,112
-0.15,167
-0.152,132
-0.154,139
-0.156,121
-0.158,128
-0.16,134
-0.162,141
-0.164,139
-0.166,136
-0.168,155
-0.17,146
-0.172,136
-0.174,139
-0.176,141
-0.178,122
-0.18,139
-0.182,162
-0.184,149
-0.186,119
-0.188,144
-0.19,115
-0.192,142
-0.194,121
-0.196,114
-0.198,119
-0.2,112
-0.202,109
-0.204,111
-0.206,101
-0.208,117
-0.21,116
-0.212,85
-0.214,107
-0.216,84
-0.218,81
-0.22,90
-0.222,70
-0.224,72
-0.226,63
-0.228,77
-0.23,62
-0.232,51
-0.234,50
-0.236,48
-0.238,49
-0.24,47
-0.242,47
-0.244,30
-0.246,44
-0.248,28
-0.25,32
-0.252,31
-0.254,25
-0.256,28
-0.258,23
-0.26,22
-0.262,25
-0.264,10
-0.266,14
-0.268,20
-0.27,16
-0.272,13
-0.274,12
-0.276,12
-0.278,11
-0.28,8
-0.282,6
-0.284,9
-0.286,9
-0.288,8
-0.29,3
-0.292,6
-0.294,3
-0.296,3
-0.298,6
-0.3,4
-0.302,3
-0.304,1
-0.306,1
-0.308,1
-0.31,1
-0.312,2
-0.314,3
-0.316,0
-0.318,2
-0.32,0
-0.322,0
-0.324,4
-0.326,3
-0.328,1
-0.33,1
-0.332,1
-0.334,1
-0.336,0
-0.338,1
-0.34,0
-0.342,1
-0.344,1
-0.346,1
-0.348,1
